ID,type,name,longitude,latitude,destination_id
1890,dive_center,DIVING SERVICES CO,-94.260261,35.599796,2875
1885,dive_center,TEST THE WATERS,-147.551824,64.799534,2302
1968,dive_center,Florida Springs Scuba,-82.486592,29.387829,4224
1962,dive_center,DIVER'S PARADISE,-80.155658,25.724308,1838
1994,dive_center,UNDERWATER UNLIMITED,-80.287906,25.73413,1323
1995,dive_center,Dive Haven,-84.496324,34.268416,1353
1999,dive_center,SAM'S TOURS,134.488947,7.337565,217
2015,dive_center,ISLAND DIVERS HAWAII,-158.061864,21.486874,4175
2016,dive_center,ISLAND DIVERS HAWAII,-158.061253,21.494045,4175
2028,dive_center,INLAND SCUBA INC,-112.122957,43.418112,4814
2003,dive_center,ALOHA SCUBA DIVING COMPANY,-158.051127,21.497399,4175
2053,dive_center,BLUE MARBLE DIVERS,-77.726244,39.612069,5479
2043,dive_center,DIVE TOLEDO SCUBA CENTER,-93.573885,31.224682,4754
2071,dive_center,THE DIVE SHOP,-83.753735,43.002514,1402
2154,dive_center,DAKOTA SCUBA,-98.046199,43.649838,1484
2190,dive_center,THE DIVE SHOP,-77.553372,37.63868,1516
2171,dive_center,OUTSIDE THE ASYLUM SCUBA & SWIM,-95.752159,29.751015,5322
2217,dive_center,Macaronesian Divers & Store,-16.653974,28.007232,316
2219,dive_center,Scuba Bar,23.316525,42.661726,6182
2216,dive_center,Macaronesian Divers & Store,-16.323731,28.401857,725
2238,dive_center,Lorenc Tauchsport,16.339669,48.153644,6379
2239,dive_center,Lorenc Tauchsport,16.336422,48.205673,6379
2241,dive_center,SCUBA DIVERSIONS,-81.327835,28.697575,1346
2242,dive_center,Buceo PANDORA,-15.398686,27.859621,271
2245,dive_center,POP d.o.o.,13.871656,44.927956,1549
2247,dive_center,SPORT & CAMPING SHOP,13.601804,45.225895,1550
2249,dive_center,SCUBA TRIBE DIVE CENTER,28.605072,43.864486,1551
2250,dive_center,SCUBA TRIBE,28.654063,44.200113,1552
2253,dive_center,WeDive,-8.66356,37.112783,809
2256,dive_center,Odyssey Diving,166.439585,-22.278459,465
2257,dive_center,Enjoy Diving,166.441772,-22.284419,465
2237,dive_center,UMEX Tauchsporthandel,16.396888,48.201212,1086
2269,dive_center,BORA OCEAN ADVENTURES,-151.74149,-16.500413,4214
2271,dive_center,T'as la peche,166.469631,-22.24495,465
2272,dive_center,Sea Sport Sarl,166.448657,-22.279377,465
2273,dive_center,Kuare,166.448089,-22.273491,465
2274,dive_center,Dive Equipment Seychelles,55.480396,-4.682669,3843
